permit_number,s_name,s_address,city,z_code,p_fee,c_number,contractor,permit_specifications,square_feet,is_the_building_occupied,i_date,e_date,achd_inspector,job_complete,is_permit_date_extended,permit_o_e_date,project_type,latitude,longitude
PAA150403,INGRAM SHOPPING CENTER,70 WEST STEUBEN STREET,CRAFTON,15205,650,45005,308,FLOOR TILE/MASTIC IN SPACE 13,1500,f,2015-08-10,2015-08-31,2,t,f,2015-08-31,,40.439005767948,-80.0698066064554
PAA150404,WORD OF GOD SCHOOL,7436 MCCLURE AVE,PITTSBURGH,15218,650,14681,310,FLOOR TILE IN CLASSROOM 215 AND HALLWAY,1125,t,2015-08-17,2015-11-20,2,t,f,2015-11-20,,40.4229267478817,-79.8902349230651
PAA150405,,632 MILLER AVE.,CLAIRTON,15025,650,13622,428,FLOOR TILE ON 1ST FLOOR AND ROOFING,2350,f,2015-08-11,2015-09-11,2,t,f,2015-09-11,,40.2915794084882,-79.8834712894708
PAA150406,,418 ST.CLAIR AVE.,CLAIRTON,15025,650,13622,428,FLOOR TILE ON 2ND FLOOR AND ROOFING,3700,f,2015-08-11,2015-09-11,2,t,f,2015-09-11,,40.2927421346094,-79.884214288078
PAA150407,,5800 - 08 FORWARD AVE.,PITTSBURGH,15217,650,19064,340,DEMO DEBRIS,1050,f,2015-08-12,2015-08-31,2,t,f,2015-08-31,,,
PAA150408,ALLEGHENY COUNTRY CLUB,250 COUNTRY CLUB ROAD,SEWICKLEY,15143,150,3802/3814,316,FLASHING ON TENNIS BUILDING ROOF,1000,t,2015-08-13,2015-12-31,2,t,f,2015-12-31,,40.5614913581908,-80.1647211044954
PAA150409,AQUINAS ACADEMY,2308 W HARDIES ROAD,GIBSONIA,15044,650,16069,430,FLOOR TILE/MASTIC/CARPET ON 1ST FLOOR,2200,t,2015-08-14,2016-08-12,2,t,f,2016-08-12,,40.5978207021986,-79.967878775025
PAA150410,FORESTRY BUILDING,6520 STANTON AVE,PITTSBURGH,15206,650,3482,320,ROOFING,3800,f,2015-08-24,2015-09-24,2,t,f,2015-09-24,,40.4718541657172,-79.9108480762951
PAA150411,NRG CHESWICK POWER STATION,151 PORTER ST,SPRINGDALE,15144,350,4968,318,O&M PLAN,0,t,2015-08-24,2015-12-31,2,t,f,2015-12-31,,40.5384086577513,-79.7893752211341
PAA150412,UNION TRUST BUILDING,501 GRANT STREET,PITTSBURGH,15219,150,4579,317,FLOOR TILE ON 10TH FLOOR,3530,t,2015-08-14,2015-10-31,2,t,f,2015-09-15,,40.4399495171312,-79.9970354982139
PAA150413,TEMPLE SINAI MEMORIAL PARK,7740 SALTSBURG ROAD,PLUM,15239,650,3223,311,"PLASTER THROUGHOUT 1ST AND 2ND FLOORS,DUCT WORK IN BASEMENT",3540,t,2015-08-25,2015-09-30,2,t,f,2015-09-30,,40.4747893672938,-79.7682897144634
PAA150414,WABTEC,1001 AIRBRAKE AVE.,WILMERDING,15148,650,1256,412,GALBESTOS ON GARAGE WALL,1440,t,2015-09-17,2015-10-25,2,t,f,2015-10-25,,40.3952868728638,-79.8099860579413
PAA150416,UPMC - FALK CLINIC,3501 FIFTH AVE.,PITTSBURGH,15213,150,4224,326,MASTIC ON 1ST FLOOR,280,t,2015-08-17,2015-08-31,2,t,f,2015-08-31,,40.4410195484126,-79.9601032628915
PAA150417,K L GATES CENTER,210 6TH AVE,PITTSBURGH,15222,350,4223,326,FIREPROOFING - SPOTS THROUGHOUT 7TH FLOOR,999,t,2015-08-26,2015-11-30,2,t,f,2015-11-30,,40.4420061338605,-80.0000298225206
PAA150415,BOWER HILL COMMUNITY CHURCH,70 MOFFETT STREET,PITTSBURGH,15243,350,14708,310,"BOILER/PIPE INSULATION IN BOILER ROOMS 1&2,FLOOR TILE/MASTIC ON TWO LANDINGS IN STAIRWELL AND CUSTODIAL OFFICE",591,t,2015-08-24,2015-10-23,2,t,f,2015-10-23,,40.3844893663461,-80.0605139588165
PAA150418,"SMART SOLUTION TECHNOLOGIES,LP",831 W NORTH AVE,PITTSBURGH,15233,650,10361,345,TRANSITE CEILING PANELS 3RD FLOOR OF BUILDINGS 2 AND 3,3976,t,2015-08-31,2015-09-30,2,t,f,2015-09-30,,40.45358322252,-80.0158447868838
PAA150419,SHOPPERS PLAZA,4960 RT.8,ALLISON PARK,15101,650,104,335,VAT/MASTIC IN SPACE #13,1400,f,2015-08-26,2015-08-31,2,t,f,2015-08-31,,40.6026311042873,-79.9466792558471
PAA150420,BOYS & GIRLS CLUB OF WESTERN PA,29 N 3RD ST,DUQUESNE,15110,650,3816,316,VAT ON 1ST FLOOR,2200,t,2015-08-25,2015-12-31,2,t,f,2015-12-31,,40.3737245710847,-79.8490827746577
PAA150421,ADDISON TERRACE - UNDERGROUND PIPE,2025 BENTLEY DRIVE,PITTSBURGH,15219,650,13164,360,PIPE INSULATION BETWEEN ALL BUILDINGS AND ADJACENT HILLSIDE,4755,f,2015-08-31,2016-08-31,2,t,f,2016-08-31,,,
PAA150422,ADDISON TERRACE - BUILDING 29,2025 BENTLEY DRIVE,PITTSBURGH,15219,150,13164,360,WINDOW CAULKING AND HATCH INSULATION,184,f,2015-08-31,2016-08-31,2,t,f,2016-08-31,,,
PAA150423,ADDISON TERRACE - BUILDING 30,2025 BENTLEY DRIVE,PITTSBURGH,15219,150,13164,360,WINDOW CAULKING AND HATCH INSULATION,224,f,2015-08-31,2016-08-31,2,t,f,2016-08-31,,,
PAA150424,ADDISON TERRACE - BUILDING 31,2025 BENTLEY DRIVE,PITTSBURGH,15219,150,13164,360,WINDOW CAULKING AND HATCH INSULATION,224,f,2015-08-31,2016-08-31,2,t,f,2016-08-31,,,
PAA150425,ADDISON TERRACE - BUILDING 32,2025 BENTLEY DRIVE,PITTSBURGH,15219,150,13164,360,WINDOW CAULKING AND HATCH INSULATION,224,f,2015-08-31,2016-08-31,2,t,f,2016-08-31,,,
PAA150426,ADDISON TERRACE - BUILDING 33,2025 BENTLEY DRIVE,PITTSBURGH,15219,150,13164,360,WINDOW CAULKING AND HATCH INSULATION,184,f,2015-08-31,2016-08-31,2,t,f,2016-08-31,,,
PAA150427,ADDISON TERRACE - BUILDING 34,2025 BENTLEY DRIVE,PITTSBURGH,15219,150,13164,360,WINDOW CAUIKING AND HATCH INSULATION,184,f,2015-08-31,2016-08-31,2,t,f,2016-08-31,,,
PAA150428,ADDISON TERRACE - BUILDING 35,2025 BENTLEY DRIVE,PITTSBURGH,15219,150,13164,360,WINDOW CAULKING AND HATCH INSULATION,184,f,2015-08-31,2016-08-31,2,f,f,2016-08-31,,,
PAA150429,ADDISON TRRACE - BUILDING 36,2025 BENTLEY DRIVE,PITTSBURGH,15219,150,13164,360,WINDOW CAULKING AND HATCH INSULATION,184,f,2015-08-31,2016-08-31,2,t,f,2016-08-31,,,
PAA150430,ADDISON TERRACE - BUILDING 37,2025 BENTLEY DRIVE,PITTSBURGH,15219,150,13164,360,WINDOW CAULKING AND HATCH INSULATION,184,f,2015-08-31,2016-08-31,2,t,f,2016-08-31,,,
PAA150431,ADDISON TERRACE - BUILDING 38,2025 BENTLEY DRIVE,PITTSBURGH,15219,150,13164,360,WINDOW CAULKING AND HATCH INSULATION,184,f,2015-08-31,2016-08-31,2,t,f,2016-08-31,,,
PAA150432,ADDISON TERRACE - BUILDING 39,2025 BENTLEY DRIVE,PITTSBURGH,15219,150,13164,360,WINDOW CAULKING AND HATCH INSULATION,184,f,2015-08-31,2016-08-31,2,t,f,2016-08-31,,,
PAA150433,ADDISON TERRACE - BUILDING 40,2025 BENTLEY DRIVE,PITTSBURGH,15219,150,13164,360,WINDOW CAULKING AND HATCH INSULATION,184,f,2015-08-31,2016-08-31,2,t,f,2016-08-31,,,
PAA150434,ADDISON TERRACE - BUILDING 41,2025 BENTLEY DRIVE,PITTSBURGH,15219,150,13164,360,WINDOW CAULKING AND HATCH INSULATION,224,f,2015-08-31,2016-08-31,2,t,f,2016-08-31,,,
PAA150435,ADDISON TERRACE - BUILDING 42,2025 BENTLEY DRIVE,PITTSBURGH,15219,150,13164,360,WINDOW CAULKING AND HATCH INSULATION,224,f,2015-08-31,2016-08-31,2,t,f,2016-08-31,,,
PAA150436,ADDISON TERRACE - BUILDING 43,3 ELMORE SQUARE,PITTSBURGH,15219,150,13164,360,WINDOW CAULKING AND HATCH INSULATION,184,f,2015-08-31,2016-08-31,2,t,f,2016-08-31,,,
PAA150437,ADDISON TERRACE - BUILDING 44,2025 BENTLEY DRIVE,PITTSBURGH,15219,150,13164,360,WINDOW CAULKING AND HATCH INSULATION,164,f,2015-08-31,2016-08-31,2,f,f,2016-08-31,,,
PAA150438,THE OLIVER BUILDING,535 SMITHFIELD STREET,PITTSBURGH,15222,150,10370,345,"PIPE INSULATION IN BASEMENT,SUB BASEMENT AND 1ST FLOOR AND FLOOR TILE ON 1ST FLOOR NORTHWEST BANK SIDE",450,t,2015-08-24,2015-10-27,2,t,f,2015-10-27,,40.441402452878,-79.9980334031628
PAA150439,OLYMPIA SHOPPING CENTER,4313 WALNUT ST,MCKEESPORT,15132,150,10369,345,FLOOR TILE/MASTIC IN SPACE 38,250,t,2015-08-24,2015-09-30,2,t,f,2015-08-31,,40.3217757685389,-79.8334523807439
PAA150440,US STEEL CLAIRTON - PIPE SHOP,400 STATE STREET,CLAIRTON,15025,650,018704,313,TRANSITE SHEETING ON EAST SLOPE ROOF,5000,t,2015-09-03,2016-09-03,2,t,f,2016-09-03,,40.2940110111861,-79.8743163626466
PAA150441,US STEEL - BTX FIRE PUMP STATION,400 STATE STREET,CLAIRTON,15025,650,018705,313,MASTIC ON ROOF,1200,t,2015-09-03,2016-09-03,2,t,f,2016-09-03,,40.2940110111861,-79.8743163626466
PAA150442,,317 SOUTH MAIN STREET,PITTSBURGH,15220,650,3489,320,VAT/MASTIC THROUGHOUT 2ND FLOOR AND ROOF FLASHING,4000,f,2015-09-02,2015-11-02,2,f,f,2015-11-02,,40.4673047910911,-79.9571980203831
PAA150470,UNIVERSITY OF PITTSBURGH APPLIED RESEARCH CENTER,3170 WILLIAM PITT WAY,PITTSBURGH,15238,650,13898,412,FLOOR TILE/MASTIC IN BUILDING A-6 CORRIDOR,1146,t,2015-10-02,2015-10-31,2,t,f,2015-10-31,,40.5449997734214,-79.8271432746162
PAA150443,HOLY CHILD PARISH - RECTORY BUILDING,212 STATION STREET,BRIDGEVILLE,15017,650,14727,310,"ACOUSTICAL CEILING,LINOLEUM FLOOR TILE,BOILER BREECHING/PIPE FITTING AND WINDOW CAULKING/GLAZING",4160,f,2015-09-02,2015-12-31,2,t,f,2015-11-06,,40.359035318642,-80.1159015840851
PAA150444,OUR LADY OF VICTORY,1000 LINDSAY ROAD,CARNEGIE,15106,650,105,335,VAT IN CLASS ROOMS,5000,f,2015-08-24,2015-09-26,2,t,f,2015-09-26,,40.3854806285281,-80.0752983259239
PAA150445,UNIVERSITY OF PITTSBURGH APPLIED RESEARCH CENTER - BUILDING B-3,3170 WILLIAM PITT WAY,PITTSBURGH,15238,350,13742,412,"FLOOR TILE/MASTIC IN BUILDING B-3 ROOMS 302,303 AND HALL",938,t,2015-08-31,2015-09-12,2,t,f,2015-09-12,,40.5449997734214,-79.8271432746162
PAA150446,,432 ST.CLAIR AVE.,CLAIRTON,15025,650,13686,428,ASSUMED ASBESTOS DEBRIS,0,f,2015-08-31,2015-09-30,2,f,f,2015-09-30,,40.292848790144,-79.8848359054188
PAA150447,,424 ST.CLAIR AVE.,CLAIRTON,15025,350,13622,428,FLOOR TILE AND STAIR TREAD,780,f,2015-08-31,2015-12-31,2,f,f,2015-12-31,,40.2927878445346,-79.8844806952697
PAA150448,,800 MILLER AVE.,CLAIRTON,15025,650,13686,428,ASSUMED ASBESTOS DEBRIS,0,f,2015-08-31,2015-12-31,2,t,f,2015-12-31,,40.287375239554,-79.8837671102659
PAA150449,SOUTHLAND SHOPPING CENTER - UNIT 36,595 CLAIRTON BLVD,PITTSBURGH,15236,650,14751,310,FLOOR TILE THROUGHOUT UNIT 36,4500,t,2015-09-04,2015-11-06,2,t,f,2015-11-06,,40.3325388617388,-79.9442200083889
PAA150450,FORMER PLUM S.D. ADMIN. BLDG.,100 SCHOOL ROAD,PLUM,15239,650,3105,402,"JOINT COMPOUND IN BASEMENT AND FLOOR TILE IN BASEMENT,1ST FLOOR RESTROOM",2190,f,2015-09-08,2016-02-27,2,f,f,2016-02-27,,40.4937814124363,-79.754250371223
PAA150451,PIVIK ELEMENTARY SCHOOL,100 SCHOOL ROAD,PLUM,15239,650,3106,402,"FLOOR TILE,MASTIC,STAIR TREAD,COVE BASE THROUGHOUT BUILDING AND PIPE INSULATION/JOINTS/DEBRIS IN CRAWLSPACE",60676,f,2015-09-11,2016-02-26,2,f,f,2016-02-26,,40.4937814124363,-79.754250371223
PAA150452,REGENCY PARK ELEMENTARY SCHOOL,606 MILLERS LANE,PLUM,15239,650,3107,402,"FLOOR TILE THROUGHOUT BUILDING,BOILER TANK INSULATION/GASKETS/PACKING IN BOILER ROOM AND WINDOW CAULKING",31243,f,2015-09-11,2016-02-27,2,t,f,2015-02-27,,40.4839873114724,-79.775382117399
PAA150453,FORBES HOSPITAL,2570 HAYMAKER ROAD,MONROEVILLE,15146,650,1046,357,VCT/MASTIC IN RESPIRATORY ROOM ON 1ST FLOOR,1000,t,2015-09-14,2015-12-31,2,t,f,2015-12-31,,40.4282603186906,-79.7476530188951
PAA150454,MCDONALD'S - ROUTE 286,2409 GOLDEN MILE HIGHWAY,PLUM,15239,150,4586,317,CAULKING IN PLAYROOM AND FLASHING,245,f,2015-09-14,2015-10-31,2,t,f,2015-09-30,,40.4649828116931,-79.7058201790388
PAA150455,ALLEGHENY GENERAL HOSPITAL,320 EAST NORTH AVE.,PITTSBURGH,15212,650,1042,357,FLASHING AND TAR ON ROOF,1000,t,2015-09-07,2016-09-07,2,t,f,2015-12-31,,40.457069446526,-80.0036975361617
PAA150456,GATEWAY CENTER BUILDING 2,603 STANWIX ST,PITTSBURGH,15222,300,3871,364,FLOOR TILE/MASTIC AND PLASTER CEILING IN CITIZENS BANK LOWER LEVEL,1500,t,2015-09-11,2015-12-31,2,t,f,2015-12-31,,40.4422341420667,-80.0045902640842
PAA150457,ALCOA BUILDING,425 6TH AVE,PITTSBURGH,15219,650,0991,444,FLOOR TILE/MASTIC AND PIPE INSULATION/FITTINGS ON 2ND THROUGH 12TH FLOORS,43596,t,2015-09-08,2016-09-08,2,f,f,2016-09-08,,40.4415154144528,-79.9968138021924
PAA150458,FEDERAL RESERVE BUILDING,717 GRANT STREET,PITTSBURGH,15219,650,4587,317,FLOOR TILE/MASTIC AND PIPE INSULATION THROUGHOUT BUILDING,5000,t,2015-09-14,2015-12-31,2,t,f,2015-12-31,,40.4428609075679,-79.9949624342569
PAA150459,SCHENLY HIGH SCHOOL,4101 BIGELOW BLVD.,PITTSBURGH,15213,650,25594,429,"FLOOR TILE/MASTIC,PIPE INSULATION,CEILING TILE,DUCT INSULATION,TRANSITE PANELS,YELLOW FLOORING,STAIR TREAD AND BRAKE SHOES",85169,f,2015-09-10,2016-09-09,2,t,f,2016-09-09,,40.450131828827,-79.9546027562139
PAA150460,RITE AID - WALNUT STREET,5504 WALNUT STREET,PITTSBURGH,15232,650,14774,310,FLOOR TILE IN SALES AREA,4202,f,2015-09-21,2015-10-03,2,t,f,2015-10-03,,40.4510626163268,-79.9335023002568
PAA150461,FOODLAND,5821 LIBRARY ROAD,BETHEL PARK,15102,650,14777,310,"FLOOR TILE/MASTIC IN BATHROOMS,WALK-IN COOLER AND TRANSITE CEILING IN BACK ROOM",4000,f,2015-09-16,2015-11-13,2,t,f,2015-11-13,,40.3101604881096,-80.032587003163
PAA150462,VAMC PITTSBURGH - 2ND FLOOR,5243 UNIVERSITY C DR,PITTSBURGH,15213,650,41703,301,"FLOOR TILE/MASTIC,SKIM COATINGS,TRANSITE,PIPE INSULATION,WALL MASTIC AND FIRE DOORS",4195,t,2015-09-17,2016-09-17,2,t,f,2016-09-17,,40.4468003815638,-79.9622469774187
PAA150463,VAMC PITTSBURGH 10TH FLOOR,5243 UNIVERSITY C DR,PITTSBURGH,15213,650,41702,301,"FLOOR TILE/MASTIC,WALL MASTIC,TRANSITE,PIPE INSULATION AND WINDOW CAULKING",5295,t,2015-09-21,2016-09-21,2,t,f,2016-09-21,,40.4468003815638,-79.9622469774187
PAA150464,ALLEGHENY GENERAL HOSPITAL,320 EAST NORTH AVE.,PITTSBURGH,15212,650,1048,357,VCT/MASTIC ON 2ND FLOOR SNYDER PAVILION ELEVATOR LOBBY AND CORRIDOR,1600,t,2015-09-22,2015-12-31,2,t,f,2015-12-31,,40.457069446526,-80.0036975361617
PAA150465,CMU - APARTMENT BUILDING,618 CLYDE STREET,PITTSBURGH,15213,350,10389,345,PIPE INSULATION IN BASEMENT AND DOOR CAULKING,352,t,2015-09-23,2015-12-31,2,t,f,2015-12-31,,40.4483287169248,-79.9463384385539
PAA150467,SAINT JOSEPH HOUSE OF HOSPITALITY,1635 BEDFORD AVE.,PITTSBURGH,15219,350,13889,412,FLOOR TILE IN SHOWER/RESTROOM ON 1ST AND 3RD FLOORS,400,t,2015-09-28,2016-02-28,2,t,f,2015-12-30,,40.4451300880292,-79.9872463267731
PAA150468,SAINT JOSEPH HOUSE OF HOSPITALITY,1635 BEDFORD AVE.,PITTSBURGH,15219,650,13888,412,O&M PLAN,0,t,2015-09-28,2015-12-31,2,t,f,2014-12-31,,40.4451300880292,-79.9872463267731
PAA150469,DUQUESNE UNIVERSITY,600 FORBES AVE,PITTSBURGH,15219,350,011492,321,"VAT/MASTIC AT FISHER HALL ROOM 339 A,B ABD C",1400,t,2015-09-30,2015-10-30,2,t,f,2015-10-30,,40.437826212702,-79.9936526271794
PAA150466,CARNEGIE MUSEUM AND LIBRARY,4400 FORBES AVE.,PITTSBURGH,15213,150,41693,301,"PIPE INSULATION ON 9TH,10TH,11TH FLOORS STACK AREA AND EXTERNAL INSULATION FROM GROUND LEVEL - E1A EXHAUST FAN",274,t,2015-09-14,2015-12-30,2,t,f,2015-12-30,,40.4437064529995,-79.9491020730779
PAA150471,FLOREFFE GLASS PLANT,1000 GLASSHOUSE RD,CLAIRTON,15025,650,13827,412,"ROOF TAR/FELT,TRANSITE WALL,GALBESTOS SOFFIT AND WINDOW/DOOR CAULKING",7910,f,2015-09-21,2015-11-30,2,t,f,2015-11-30,,40.255402485871,-79.9151702596399
PAA150472,VAMC PITTSBURGH NUCLEAR MEDICINE,5243 UNIVERSITY C DR,PITTSBURGH,15213,650,41701,301,"FLOOR TILE/MASTIC,WALL MASTIC,TRANSITE,PIPE INSULATION ON BASEMENT,GROUND FLOOR,4TH,5TH,6TH,8TH,9TH,10TH AND 11TH FLOORS AND ROOFING",3272,t,2015-09-21,2016-09-21,2,t,f,2016-09-21,,40.4468003815638,-79.9622469774187
PAA150473,DAKOTA LOUNGE,3936 MONROEVILLE BLVD.,MONROEVILLE,15146,650,13277/13302,360,"CAULKING ON WINDOWS,FLOOR TILE/LINOLEUM ON LOWER LEVEL AND ROOFING",2115,f,2015-09-29,2016-09-29,2,t,f,2016-09-29,,40.4370769503199,-79.7773015113224
PAA150474,328 PENFORT STREET,328 PENFORT ST,PITTSBURGH,15214,350,108817,303,FLOOR TILE AND MASTIC,850,f,2015-09-30,2015-11-30,2,t,f,2015-11-30,,40.4757286890573,-80.0001782310829
PAA150475,NORTHVIEW HEIGHTS - APT 805,525 MOUNT PLEASANT RD,PITTSBURGH,15214,350,108817,303,FLOOR TILE AND MASTIC,525,t,2015-09-30,2015-11-30,2,f,f,2015-11-30,,40.4780806773393,-80.0001118953688
PAA150476,1310 CHICAGO ST,1310 CHICAGO ST,PITTSBURGH,15214,350,108817,303,BLACK MASTIC IN LIVING ROOM,400,f,2015-09-30,2015-11-30,2,t,f,2015-11-30,,40.4781709489957,-80.0014859267945
PAA150477,EAT'N PARK,5220 LIBRARY RD,BETHEL PARK,15102,650,14837,345,"TRANSITE IN FOYER, ENTRANCE AND SOUTH DINING ROOM",1524,f,2015-10-05,2015-11-06,2,t,f,2015-11-06,,40.3326842103081,-80.02403389358
PAA150478,GREY GOOSE LOUNGE,706 ALLEGHENY RIVER BLVD,VERONA,15147,350,7730,335,VAT ON 3RD FLOOR,400,f,2015-09-22,2015-10-05,2,f,f,2015-10-05,,40.5051583668855,-79.8434168668204
PAA150479,520 MILLER AVE,520 MILLER AVE,CLAIRTON,15025,650,2136,428,FLOOR TILE AND MASTIC AND ROOFING MATERIAL,3000,f,2015-09-25,2015-12-31,3,t,f,2015-12-31,,40.294382533399,-79.8825872281509
PAA150480,COMMERCIAL PROPERTY,615 GROSS ST,PITTSBURGH,15224,650,10405,345,"PIPE INSULATION IN BASEMENT, FLOOR TILE AND MASTIC ON FIRST FLOOR",1355,t,2015-10-08,2016-10-08,2,t,f,2016-10-08,,40.4576080542669,-79.9463035821111
PAA150481,BOYD COMMUNITY CENTER,1220 POWERS RUN RD,PITTSBURGH,15238,650,4461,366,"BOILER INSULATION, PIPE FITTINGS, FLOOR TILE AND MASTIC, COVE BASE, WINDOWS AND ROOF FLASHING",42000,t,2015-09-25,2015-12-31,2,f,f,2015-12-31,,40.5137311038309,-79.8571641393711
PAA150482,"GATEWAY CENTER BUILDINGS 1,2,3 AND 4 - O&M PERMIT",STANWIX ST,PITTSBURGH,15222,650,45142,308,"PIPE, DUCT, TANK, AND FIRE INSULATION, FLOOR TILE/MASTIC",159,t,2015-10-08,2015-12-31,2,t,f,2015-12-31,,40.4431698776901,-80.0048461475837
PAA150483,CBRE,11 STANWIX ST,PITTSBURGH,15222,350,14875,310,FLOOR TILE MASTIC ON 18TH FLOOR,716,t,2015-09-29,2015-12-31,2,t,f,2015-12-31,,40.4391122263388,-80.0063395848581
PAA150484,UPMC - PRESBYTERIAN HOSPITAL,200 LOTHROP ST,PITTSBURGH,15213,650,3885,364,FLOOR TILE/MASTIC ON 2ND FLOOR CTICU,1500,t,2015-10-15,2015-12-30,2,t,f,2015-12-30,,40.4422470230786,-79.9609286975283
PAA150485,UNION TRUST BUILDING,501 GRANT STREET,PITTSBURGH,15219,150,4599,317,FLOOR TILE ON 10TH FLOOR,3925,t,2015-10-05,2015-12-31,2,t,f,2015-12-31,,40.4399495171312,-79.9970354982139
PAA150486,PPG INDUSTRIES,151 COLFAX ST,SPRINGDALE,15144,150,14877,310,FLOOR TILE/MASTIC IN ROOMS 338A AND 338B,180,t,2015-10-12,2015-10-31,2,f,f,2015-10-31,,40.5380985883669,-79.7843064906394
PAA150487,CATHEDRAL OF LEARNING,4200 FIFTH AVE.,PITTSBURGH,15213,350,2811793,371,MASTIC IN ROOM B-62,600,t,2015-10-12,2015-12-31,2,t,f,2015-12-31,,40.4443102647694,-79.9531966404474
PAA150488,ALLEGHENY COUNTRY CLUB,250 COUNTRY CLUB ROAD,SEWICKLEY,15143,150,3834,316,"PIPE/FITTINGS,SOILAND CONT ITEMS IN CRAWLSPACE",2000,t,2015-09-26,2015-10-31,2,t,f,2015-10-31,,40.5614913581908,-80.1647211044954
PAA150489,,2914 SMALLMAN STREET,PITTSBURGH,15222,350,4536,430,"DOOR CAULKING ON 1ST FLOOR,CHIMNEY LINER ON 1ST AND 2ND FLOORS AND ROOFING",544,f,2015-10-05,2016-10-05,2,t,f,2016-10-05,,40.4586889872432,-79.9747996669417
PAA150490,,855 REBECCA AVE.,WILKINSBURG,15221,650,41713,301,PLASTER WALLS THROUGHOUT BUILDING,11200,f,2015-09-23,2016-09-23,2,t,f,2016-09-23,,40.4388918367035,-79.8812685443017
PAA150491,,758 COAL VALLEY ROAD,JEFFERSON HILLS,15025,650,45146,308,TRANSITE SIDING,1500,f,2015-10-13,2015-11-30,2,t,f,2015-11-30,,40.313620472012,-79.9382822168403
PAA150492,,HULTON BRIDGE,OAKMONT,15139,650,25630,429,PIPE WRAP AND CAULKING,1550,t,2015-10-15,2016-04-15,2,t,f,2016-04-15,,,
PAA150493,GATEWAY CENTER BUILDING 1,603 STANWIX STREET,PITTSBURGH,15222,650,1015,364,FLOOR TILE/MASTIC ON 13TH FLOOR,11000,f,2015-10-16,2015-12-31,2,t,f,2015-12-31,,40.4422341420667,-80.0045902640842
PAA150494,RICHLAND MALL,5375 WILLIAM FLYNN HIGHWAY,GIBSONIA,15044,650,011519,321,MASTIC IN SHOE DEPT.SHOWROOM,5000,t,2015-10-16,2015-10-31,2,t,f,2015-10-31,,40.61963683133,-79.9465038071625
PAA150495,,838 ALLEGHENY RIVER BLVD,OAKMONT,15139,350,14008,412,TRANSITE CEILING IN BASEMENT,880,t,2015-10-19,2015-10-27,2,t,f,2015-10-27,,40.5249301378636,-79.8406359212513
PAA150496,CARNEGIE LIBRARY OF HOMESTEAD,510 E.TENTH AVE.,MUNHALL,15120,650,45156,308,PIPE/DUCT INSULATION IN BOILER ROOM,1450,t,2015-10-21,2015-12-31,2,t,f,2015-12-31,,40.4070447692714,-79.9029262483237
PAA150497,FORBES LAW OFFICE,428 FORBES AVE.,PITTSBURGH,15219,650,4603,317,"FLOOR TILE/MASTIC ON 2ND AND 3RD FLOORS,ROOFING",11500,t,2015-10-19,2015-12-31,2,t,f,2015-12-31,,40.438825039758,-79.9981951252272
PAA150498,FOX CHAPEL HIGH SCHOOL,611 FIELD CLUB ROAD,PITTSBURGH,15238,350,3544,320,MASTIC IN GIRL'S LOCKER ROOM,750,t,2015-10-19,2015-10-30,2,t,f,2015-10-30,,40.5181068090316,-79.8686773482571
PAA150499,STRIP MALL-MOON TOWNSHIP,7500 UNIVERSITY BLVD,CORAOPOLIS,15108,350,3841,316,FLOOR TILE AT VACANT SITE,400,f,2015-10-16,2015-12-31,2,t,f,2015-12-31,,40.5156070895362,-80.2241448500048
PAA150500,,311 AND 313 GLOSSER STREET,EAST PITTSBURGH,,350,13730,428,FLOOR TILE/MASTIC AND SIDING,601,t,2015-10-08,2015-10-31,2,t,f,2015-10-31,,,
PAA150501,FORBES LAW BUILDING,428 FORBES AVE,PITTSBURGH,15219,650,4603,317,O&M PLAN,0,t,2015-10-19,2015-12-31,2,f,f,2015-12-31,,40.438825039758,-79.9981951252272
PAA150502,WTAE STUDIO FACILITY,400 ARDMORE BLVD.,PITTSBURGH,15221,350,14009,412,CHILLER INSULATION ON 2ND FLOOR CHILLER ROOM AND PIPE FITTINGS IN BASEMENT AND MAIN LOBBY,300,t,2015-10-21,2015-12-30,2,t,f,2015-12-30,,40.4358420151255,-79.8686704853968
PAA150503,,724 KELLY AVE.,WILKINSBURGH,15221,650,41714,301,FLOOR TILE ON 1ST FLOOR AND ROOFING,2700,f,2015-10-12,2016-09-23,2,t,f,2016-09-23,,40.4396858284388,-79.8865028237743
PAA150504,JEFFERSON HOSPITAL,565 COAL VALLEY ROAD,JEFFERSON HILLS,15025,650,45193,308,FLOOR TILE/MASTIC 2ND FLOOR CENTRAL STERILE,3600,t,2015-10-16,2015-12-31,2,t,f,2015-12-31,,40.3179030628942,-79.9336525202663
PAA150505,GANDER MOUNTAIN,4680 OLD WILLIAM PENN HWY.,MONROEVILLE,15146,650,16593,309,"FLOOR TILE/MASTIC IN RETAIL,REAL STORAGE AND 2ND FLOOR OFFICE",13550,f,2015-10-16,2017-11-04,2,f,f,2017-11-04,,40.4393450762005,-79.7433422725563
PAA150506,MT. LEBANON MARKET,292 BEVERLY ROAD,PITTSBURGH,15216,350,14010,412,FLOOR TILE/MASTIC IN SALES AREA,500,t,2015-10-21,2015-10-30,2,t,f,2015-10-30,,40.3890993379304,-80.0496033623977
